Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK
Date,,,,,,
2005-05-23,428.2717590332031,765.0,770.0,735.0,740.0,33310000
2005-05-30,461.8616638183594,825.0,930.0,760.0,760.0,215292500
2005-06-06,461.8616638183594,825.0,830.0,800.0,820.0,10872500
2005-06-13,464.6607666015625,830.0,845.0,815.0,820.0,48932500
2005-06-20,461.8616638183594,825.0,835.0,815.0,830.0,11432500
2005-06-27,459.0625,820.0,825.0,815.0,825.0,8460000
2005-07-04,470.2591552734375,840.0,865.0,820.0,820.0,38677500
2005-07-11,459.0625,820.0,840.0,820.0,835.0,18282500
2005-07-18,487.9508972167969,855.0,860.0,820.0,820.0,23070000
2005-07-25,496.51153564453125,870.0,900.0,855.0,855.0,28497500
2005-08-01,502.21844482421875,880.0,945.0,870.0,870.0,34300000
2005-08-08,513.6326904296875,900.0,900.0,860.0,880.0,17497500
2005-08-15,507.9255676269531,890.0,890.0,845.0,870.0,8475000
2005-08-22,502.21844482421875,880.0,910.0,870.0,890.0,43957500
2005-08-29,476.53680419921875,835.0,885.0,820.0,875.0,38805000
2005-09-05,470.8298645019531,825.0,835.0,805.0,830.0,68315000
2005-09-12,445.1481628417969,780.0,830.0,745.0,825.0,51800000
2005-09-19,442.2946472167969,775.0,810.0,770.0,770.0,41295000
2005-09-26,465.1228942871094,815.0,825.0,780.0,780.0,45132520
2005-10-03,527.900146484375,925.0,935.0,800.0,840.0,100
2005-10-10,522.193115234375,915.0,945.0,905.0,935.0,14612560
2005-10-17,476.53680419921875,835.0,900.0,835.0,900.0,4687540
2005-10-24,485.0973815917969,850.0,860.0,810.0,825.0,12732540
2005-10-31,496.51153564453125,870.0,880.0,850.0,875.0,40
2005-11-07,507.9255676269531,890.0,935.0,870.0,870.0,13710040
2005-11-14,499.3649597167969,875.0,890.0,840.0,850.0,882580
2005-11-21,490.804443359375,860.0,885.0,840.0,880.0,9615080
2005-11-28,507.9255676269531,890.0,890.0,850.0,860.0,2345080
2005-12-05,499.3649597167969,875.0,905.0,875.0,875.0,9057580
2005-12-12,494.73590087890625,855.0,875.0,850.0,860.0,100
2005-12-19,491.8426208496094,850.0,865.0,845.0,855.0,14180040
2005-12-26,494.73590087890625,855.0,860.0,840.0,850.0,60
2006-01-02,509.2018127441406,880.0,880.0,855.0,860.0,100
2006-01-09,509.2018127441406,880.0,905.0,870.0,880.0,35747540
2006-01-16,494.73590087890625,855.0,885.0,835.0,875.0,8052580
2006-01-23,503.4155578613281,870.0,890.0,845.0,845.0,13537540
2006-01-30,497.62908935546875,860.0,880.0,860.0,860.0,4647560
2006-02-06,503.4155578613281,870.0,880.0,860.0,860.0,12987580
2006-02-13,506.30859375,875.0,880.0,830.0,870.0,6052560
2006-02-20,483.16302490234375,835.0,875.0,835.0,875.0,14477540
2006-02-27,497.62908935546875,860.0,865.0,845.0,855.0,18340020
2006-03-06,491.8426208496094,850.0,870.0,835.0,860.0,14200060
2006-03-13,497.62908935546875,860.0,865.0,845.0,845.0,9385040
2006-03-20,491.8426208496094,850.0,870.0,850.0,855.0,43377520
2006-03-27,491.8426208496094,850.0,860.0,845.0,855.0,9507540
2006-04-03,500.5222473144531,865.0,865.0,835.0,840.0,13600080
2006-04-10,494.73590087890625,855.0,870.0,845.0,865.0,60
2006-04-17,491.8426208496094,850.0,880.0,850.0,850.0,27757560
2006-04-24,529.4542236328125,915.0,920.0,840.0,850.0,142890020
