Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK
Date,,,,,,
2010-05-03,473.9570617675781,1930.0,2175.0,1900.0,2125.0,575512000
2010-05-10,509.5652160644531,2075.0,2125.0,1950.0,1970.0,383126500
2010-05-17,451.8554382324219,1840.0,2075.0,1810.0,2050.0,502992000
2010-05-24,469.04559326171875,1910.0,1930.0,1700.0,1800.0,388837503
2010-05-31,476.412841796875,1940.0,2025.0,1880.0,2000.0,439159000
2010-06-07,463.30352783203125,1870.0,1890.0,1820.0,1840.0,284682500
2010-06-14,490.556640625,1980.0,2000.0,1870.0,1890.0,432577500
2010-06-21,501.7057800292969,2025.0,2100.0,1990.0,2075.0,426557500
2010-06-28,493.0343322753906,1990.0,2075.0,1930.0,2050.0,216883500
2010-07-05,507.8995666503906,2050.0,2050.0,1980.0,1990.0,281503500
2010-07-12,501.7057800292969,2025.0,2075.0,1990.0,2025.0,242471500
2010-07-19,507.8995666503906,2050.0,2075.0,1980.0,1990.0,232884000
2010-07-26,495.5116882324219,2000.0,2100.0,2000.0,2025.0,340241000
2010-08-02,526.4812622070312,2125.0,2125.0,2000.0,2050.0,323503500
2010-08-09,514.0935668945312,2075.0,2150.0,2000.0,2125.0,202801000
2010-08-16,520.2874145507812,2100.0,2125.0,2025.0,2050.0,150399500
2010-08-23,493.0343322753906,1990.0,2100.0,1970.0,2075.0,229457500
2010-08-30,455.8707275390625,1840.0,2025.0,1760.0,1980.0,819962500
2010-09-06,480.64642333984375,1940.0,1960.0,1850.0,1920.0,316865000
2010-09-13,532.6751708984375,2150.0,2150.0,1940.0,1940.0,513252000
2010-09-20,501.7057800292969,2025.0,2150.0,1950.0,2050.0,211446500
2010-09-27,507.8995666503906,2050.0,2125.0,2000.0,2075.0,363469500
2010-10-04,507.8995666503906,2050.0,2100.0,2000.0,2025.0,287935500
2010-10-11,551.2567749023438,2225.0,2250.0,2025.0,2075.0,478846000
2010-10-18,557.4508056640625,2250.0,2300.0,2100.0,2175.0,305596000
2010-10-25,520.2874145507812,2100.0,2250.0,2075.0,2175.0,192812500
2010-11-01,563.64453125,2275.0,2325.0,2100.0,2125.0,426091500
2010-11-08,594.6141357421875,2400.0,2500.0,2275.0,2350.0,536359000
2010-11-15,607.0020751953125,2450.0,2500.0,2350.0,2400.0,185838000
2010-11-22,576.032470703125,2325.0,2475.0,2300.0,2450.0,171207000
2010-11-29,588.4202880859375,2375.0,2475.0,2275.0,2300.0,234782000
2010-12-06,646.9061889648438,2600.0,2650.0,2400.0,2475.0,398145000
2010-12-13,572.2630004882812,2300.0,2650.0,2250.0,2575.0,226651000
2010-12-20,628.2451782226562,2525.0,2575.0,2425.0,2500.0,83882500
2010-12-27,634.4654541015625,2550.0,2550.0,2500.0,2525.0,50670000
2011-01-03,671.787109375,2700.0,2900.0,2525.0,2675.0,386159500
2011-01-10,653.1262817382812,2625.0,2700.0,2450.0,2500.0,325345000
2011-01-17,584.7034912109375,2350.0,2725.0,2300.0,2575.0,356486500
2011-01-24,590.923828125,2375.0,2475.0,2300.0,2350.0,288498000
2011-01-31,609.58447265625,2450.0,2500.0,2225.0,2250.0,352719000
2011-02-07,590.923828125,2375.0,2475.0,2250.0,2400.0,276049000
2011-02-14,603.3642578125,2425.0,2475.0,2325.0,2425.0,149608000
2011-02-21,615.8047485351562,2475.0,2500.0,2375.0,2475.0,255586000
2011-02-28,590.923828125,2375.0,2475.0,2325.0,2450.0,173944000
2011-03-07,578.4832153320312,2325.0,2425.0,2275.0,2375.0,157258500
2011-03-14,590.923828125,2375.0,2425.0,2300.0,2400.0,265587500
2011-03-21,566.042724609375,2275.0,2375.0,2200.0,2325.0,399793500
2011-03-28,566.042724609375,2275.0,2300.0,2175.0,2300.0,380532000
2011-04-04,572.2630004882812,2300.0,2350.0,2250.0,2350.0,238182000
2011-04-11,566.042724609375,2275.0,2300.0,2225.0,2300.0,239516500
2011-04-18,553.6022338867188,2225.0,2275.0,2200.0,2225.0,226977500
2011-04-25,547.3818969726562,2200.0,2250.0,2200.0,2250.0,163334000
2011-05-02,572.2630004882812,2300.0,2375.0,2200.0,2225.0,443014500
2011-05-09,566.042724609375,2275.0,2325.0,2225.0,2325.0,197267500
2011-05-16,590.923828125,2375.0,2400.0,2200.0,2250.0,332721500
2011-05-23,597.14404296875,2400.0,2400.0,2275.0,2325.0,267869000
2011-05-30,609.58447265625,2450.0,2475.0,2350.0,2375.0,474795000
2011-06-06,602.28857421875,2400.0,2500.0,2400.0,2475.0,201852000
2011-06-13,570.9193115234375,2275.0,2450.0,2250.0,2400.0,182428000
2011-06-20,596.0147705078125,2375.0,2400.0,2275.0,2300.0,122906000
2011-06-27,627.3838500976562,2500.0,2525.0,2350.0,2375.0,199510500
2011-07-04,652.4793090820312,2600.0,2600.0,2500.0,2500.0,179981500
2011-07-11,639.9315185546875,2550.0,2600.0,2450.0,2575.0,178986000
2011-07-18,633.6577758789062,2525.0,2625.0,2500.0,2600.0,148867000
2011-07-25,665.0270385742188,2650.0,2700.0,2475.0,2500.0,254633000
2011-08-01,596.0147705078125,2375.0,2700.0,2325.0,2675.0,144340000
2011-08-08,583.4669799804688,2325.0,2450.0,2150.0,2325.0,415792000
2011-08-15,564.6455078125,2250.0,2450.0,2225.0,2350.0,294235500
